Substrate 9: Pro-AMC,,
Treatment: Live,,
,,
time,conc.uM,FSU
0:00:00,0,1558.07
4:15:00,0,1760.04
16:44:00,0,1943.83
19:30:00,0,2031.61
21:50:00,0,1985.69
0:00:00,160,2526.21
4:15:00,160,2639.04
16:44:00,160,2934.28
19:30:00,160,2943.66
21:50:00,160,3117.62
0:00:00,320,4306.92
4:15:00,320,4250.73
16:44:00,320,5246.77
19:30:00,320,5479.82
21:50:00,320,6233.72
0:00:00,480,5151.85
4:15:00,480,5398.73
16:44:00,480,6779.12
19:30:00,480,6836.09
21:50:00,480,7215.48
0:00:00,640,5292.39
4:15:00,640,5313.58
16:44:00,640,6520.35
19:30:00,640,6821.23
21:50:00,640,7324.37
0:00:00,800,5477.46
4:15:00,800,5746.82
16:44:00,800,7301.7
19:30:00,800,7542.23
21:50:00,800,8058.84
0:00:00,960,5698.01
4:15:00,960,5506.01
16:44:00,960,6521.14
19:30:00,960,6455.81
21:50:00,960,7150.39
0:00:00,1120,4644.22
4:15:00,1120,4797.06
16:44:00,1120,5829.52
19:30:00,1120,5349.4
21:50:00,1120,6057.56
0:00:00,1280,11637.58
4:15:00,1280,12001.58
16:44:00,1280,14490.27
19:30:00,1280,16061.42
21:50:00,1280,17473.41
0:00:00,1440,9274.31
4:15:00,1440,9666.26
16:44:00,1440,11838.41
19:30:00,1440,12702.01
21:50:00,1440,15064.47
0:00:00,1600,9703.5
4:15:00,1600,10372.65
16:44:00,1600,12653.12
19:30:00,1600,15752.49
21:50:00,1600,14890.23
