Substrate 8: H-Proline-AMC,,
Treatment: Live,,
,,
time,conc.uM,FSU
0:00:00,0,512.31
4:15:00,0,566.64
16:44:00,0,613.73
19:30:00,0,688.73
21:50:00,0,707.91
0:00:00,160,1292.56
4:15:00,160,2130.78
16:44:00,160,4004.84
19:30:00,160,4649.54
21:50:00,160,4717.26
0:00:00,320,1410.18
4:15:00,320,2203.95
16:44:00,320,5239.84
19:30:00,320,5384.68
21:50:00,320,5945.42
0:00:00,480,1635.83
4:15:00,480,2545.13
16:44:00,480,5424.36
19:30:00,480,6187.71
21:50:00,480,6516.22
0:00:00,640,2301.29
4:15:00,640,2645.59
16:44:00,640,5908.68
19:30:00,640,6462.61
21:50:00,640,8366.74
0:00:00,800,2013.34
4:15:00,800,3129.9
16:44:00,800,6423.97
19:30:00,800,7417.72
21:50:00,800,7863.16
0:00:00,960,2252.58
4:15:00,960,3028.34
16:44:00,960,6256.53
19:30:00,960,7075.04
21:50:00,960,7461.93
0:00:00,1120,2650.86
4:15:00,1120,3833.28
16:44:00,1120,7312.08
19:30:00,1120,8410.65
21:50:00,1120,9502.67
0:00:00,1280,2754.95
4:15:00,1280,3699.04
16:44:00,1280,7278.11
19:30:00,1280,7901.5
21:50:00,1280,9079.24
0:00:00,1440,2913.37
4:15:00,1440,3530.52
16:44:00,1440,7171.89
19:30:00,1440,7791.19
21:50:00,1440,8970.94
0:00:00,1600,3489.54
4:15:00,1600,3859.62
16:44:00,1600,7607.67
19:30:00,1600,9117.31
21:50:00,1600,9825.77
