"Leg","Site"
112,680
112,687
113,694
115,705
115,706
117,720
117,725
117,726
117,727
117,729
119,740
119,742
119,743
119,745
119,746
125,778
125,781
125,783
125,785
125,786
126,787
126,788
134,827
134,828
134,831
135,835
135,836
135,837
135,838
135,839
135,840
136,842
138,852
138,853
138,854
141,861
141,862
144,873
144,874
144,877
146,890
151,907
151,912
152,914
152,915
155,932
155,934
155,937
155,941
155,942
155,943
155,945
158,957
159,961
159,962
160,964
160,965
162,907
162,980
165,1002
167,1013
167,1015
167,1022
171,1049
178,1097
178,1100
180,1117
182,1133
184,1147
185,801
199,1215
199,1216
199,1217
199,1220
199,1221
199,1222
202,1236
205,1253
205,1255
303,1302
303,1303
306,1312
306,1313
306,1314
